duration : 382, tx :4262598, rx :79248, txbr :86, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 384, tx :4283544, rx :79619, txbr :83, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 386, tx :4304702, rx :80063, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 388, tx :4326106, rx :80386, txbr :85, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 390, tx :4347172, rx :80680, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 392, tx :4368095, rx :81124, txbr :83, rxbr :1, txAudioBr :71, rxAudioBr :0, users :1

duration : 394, tx :4389557, rx :81645, txbr :85, rxbr :2, txAudioBr :72, rxAudioBr :0, users :1

duration : 396, tx :4410512, rx :81939, txbr :83, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 398, tx :4431498, rx :82460, txbr :83, rxbr :2, txAudioBr :72, rxAudioBr :0, users :1

duration : 400, tx :4452930, rx :82706, txbr :85, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 402, tx :4474148, rx :83198, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 404, tx :4494843, rx :83323, txbr :82, rxbr :0, txAudioBr :72, rxAudioBr :0, users :1

duration : 406, tx :4516385, rx :83767, txbr :86, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 408, tx :4537609, rx :84336, txbr :84, rxbr :2, txAudioBr :72, rxAudioBr :0, users :1

duration : 410, tx :4558737, rx :84582, txbr :84, rxbr :0, txAudioBr :73, rxAudioBr :0, users :1

duration : 412, tx :4580370, rx :85026, txbr :86, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 414, tx :4601474, rx :85397, txbr :84, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 416, tx :4622362, rx :85841, txbr :83, rxbr :1, txAudioBr :71, rxAudioBr :0, users :1

duration : 418, tx :4643496, rx :86164, txbr :84, rxbr :1, txAudioBr :71, rxAudioBr :0, users :1

duration : 420, tx :4664447, rx :86458, txbr :83, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 422, tx :4685405, rx :86902, txbr :83, rxbr :1, txAudioBr :72, rxAudioBr :0, users :1

duration : 424, tx :4707665, rx :87423, txbr :88, rxbr :2, txAudioBr :71, rxAudioBr :0, users :1

duration : 426, tx :4728581, rx :87765, txbr :83, rxbr :1, txAudioBr :71, rxAudioBr :0, users :1

duration : 428, tx :4749380, rx :88286, txbr :83, rxbr :2, txAudioBr :71, rxAudioBr :0, users :1

duration : 430, tx :4770546, rx :88532, txbr :84, rxbr :0, txAudioBr :71, rxAudioBr :0, users :1

